id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,completionsubmit,lastlogin,timecreated,status,latest,fechaEntrega,ultimoAcceso,semxmatricula,seniority_year
1050,848,1050,100,0,405-B TBD,23050025,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744250549,1692472099,submitted,1,08/03/2025,10/04/2025,4,1
1050,847,1050,0,0,405-B TBD,23050025,Actividad 1,1740808200,1,1744250549,1692472099,submitted,1,01/03/2025,10/04/2025,4,1
1051,2466,1051,90,0,405-B TBD,23050026,Act 2 investigaciÃ³n 2,1743227400,1,1744339570,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1051,2465,1051,80,0,405-B TBD,23050026,Act 1 InvestigaciÃ³n 1,1743227400,1,1744339570,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1051,2435,1051,100,0,405-B TBD,23050026,Consultas sobre su propia BD,1742622600,1,1744339570,1692472099,new,1,22/03/2025,11/04/2025,4,1
1051,850,1051,100,0,405-B TBD,23050026,Actividad 4 Segunda parte de consultas,1742018220,1,1744339570,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1051,849,1051,50,0,405-B TBD,23050026,Actividad 3 InvestigaciÃ³n,1742017800,1,1744339570,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1051,848,1051,100,0,405-B TBD,23050026,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744339570,1692472099,submitted,1,08/03/2025,11/04/2025,4,1
1051,847,1051,0,0,405-B TBD,23050026,Actividad 1,1740808200,1,1744339570,1692472099,submitted,1,01/03/2025,11/04/2025,4,1
1052,2466,1052,90,0,405-B TBD,23050027,Act 2 investigaciÃ³n 2,1743227400,1,1743880062,1692472099,submitted,1,29/03/2025,05/04/2025,4,1
1052,2465,1052,80,0,405-B TBD,23050027,Act 1 InvestigaciÃ³n 1,1743227400,1,1743880062,1692472099,submitted,1,29/03/2025,05/04/2025,4,1
1052,2435,1052,100,0,405-B TBD,23050027,Consultas sobre su propia BD,1742622600,1,1743880062,1692472099,submitted,1,22/03/2025,05/04/2025,4,1
1052,850,1052,100,0,405-B TBD,23050027,Actividad 4 Segunda parte de consultas,1742018220,1,1743880062,1692472099,new,1,15/03/2025,05/04/2025,4,1
1052,849,1052,50,0,405-B TBD,23050027,Actividad 3 InvestigaciÃ³n,1742017800,1,1743880062,1692472099,submitted,1,15/03/2025,05/04/2025,4,1
1052,848,1052,100,0,405-B TBD,23050027,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1743880062,1692472099,new,1,08/03/2025,05/04/2025,4,1
1052,847,1052,0,0,405-B TBD,23050027,Actividad 1,1740808200,1,1743880062,1692472099,new,1,01/03/2025,05/04/2025,4,1
1054,2466,1054,90,0,405-B TBD,23050029,Act 2 investigaciÃ³n 2,1743227400,1,1744406233,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1054,2465,1054,80,0,405-B TBD,23050029,Act 1 InvestigaciÃ³n 1,1743227400,1,1744406233,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
